Area,Item,Year,Unit,Value
Democratic People's Republic of Korea,Watermelons,2021,100 g/ha,155794
Democratic People's Republic of Korea,Wheat,2020,100 g/ha,12272
Democratic People's Republic of Korea,Wheat,2021,100 g/ha,12272
Democratic Republic of the Congo,Avocados,2020,100 g/ha,67567
Democratic Republic of the Congo,Avocados,2021,100 g/ha,67273
Democratic Republic of the Congo,"Bambara beans, dry",2020,100 g/ha,4138
Democratic Republic of the Congo,"Bambara beans, dry",2021,100 g/ha,4112
Democratic Republic of the Congo,Bananas,2020,100 g/ha,35394
Democratic Republic of the Congo,Bananas,2021,100 g/ha,35286
Democratic Republic of the Congo,Barley,2020,100 g/ha,6798
Democratic Republic of the Congo,Barley,2021,100 g/ha,6795
Democratic Republic of the Congo,"Beans, dry",2020,100 g/ha,5451
Democratic Republic of the Congo,"Beans, dry",2021,100 g/ha,5454
Democratic Republic of the Congo,Cabbages,2020,100 g/ha,169567
Democratic Republic of the Congo,Cabbages,2021,100 g/ha,169356
Democratic Republic of the Congo,Carrots and turnips,2020,100 g/ha,89050
Democratic Republic of the Congo,Carrots and turnips,2021,100 g/ha,89990
Democratic Republic of the Congo,"Cassava, fresh",2020,100 g/ha,81463
Democratic Republic of the Congo,"Cassava, fresh",2021,100 g/ha,81493
Democratic Republic of the Congo,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2020,100 g/ha,34568
Democratic Republic of the Congo,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2021,100 g/ha,34416
Democratic Republic of the Congo,Cocoa beans,2020,100 g/ha,4978
Democratic Republic of the Congo,Cocoa beans,2021,100 g/ha,5027
Democratic Republic of the Congo,"Coffee, green",2020,100 g/ha,3924
Democratic Republic of the Congo,"Coffee, green",2021,100 g/ha,3927
Democratic Republic of the Congo,"Cow peas, dry",2020,100 g/ha,4360
Democratic Republic of the Congo,"Cow peas, dry",2021,100 g/ha,4343
Democratic Republic of the Congo,Cucumbers and gherkins,2020,100 g/ha,39650
Democratic Republic of the Congo,Cucumbers and gherkins,2021,100 g/ha,40232
Democratic Republic of the Congo,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2020,100 g/ha,72917
Democratic Republic of the Congo,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2021,100 g/ha,72913
Democratic Republic of the Congo,"Groundnuts, excluding shelled",2020,100 g/ha,9074
Democratic Republic of the Congo,"Groundnuts, excluding shelled",2021,100 g/ha,9239
Democratic Republic of the Congo,"Kenaf, and other textile bast fibres, raw or retted",2020,100 g/ha,7930
Democratic Republic of the Congo,"Kenaf, and other textile bast fibres, raw or retted",2021,100 g/ha,7897
Democratic Republic of the Congo,Lemons and limes,2020,100 g/ha,152649
Democratic Republic of the Congo,Lemons and limes,2021,100 g/ha,152611
Democratic Republic of the Congo,Lettuce and chicory,2020,100 g/ha,401842
Democratic Republic of the Congo,Lettuce and chicory,2021,100 g/ha,399808
Democratic Republic of the Congo,Maize (corn),2020,100 g/ha,7733
Democratic Republic of the Congo,Maize (corn),2021,100 g/ha,7726
Democratic Republic of the Congo,"Mangoes, guavas and mangosteens",2020,100 g/ha,168876
Democratic Republic of the Congo,"Mangoes, guavas and mangosteens",2021,100 g/ha,168827
Democratic Republic of the Congo,Melonseed,2020,100 g/ha,6257
Democratic Republic of the Congo,Melonseed,2021,100 g/ha,6288
Democratic Republic of the Congo,Millet,2020,100 g/ha,6692
Democratic Republic of the Congo,Millet,2021,100 g/ha,6697
Democratic Republic of the Congo,Natural rubber in primary forms,2020,100 g/ha,2296
Democratic Republic of the Congo,Natural rubber in primary forms,2021,100 g/ha,2294
Democratic Republic of the Congo,Oil palm fruit,2020,100 g/ha,65732
Democratic Republic of the Congo,Oil palm fruit,2021,100 g/ha,65707
Democratic Republic of the Congo,"Onions and shallots, dry (excluding dehydrated)",2020,100 g/ha,53180
Democratic Republic of the Congo,"Onions and shallots, dry (excluding dehydrated)",2021,100 g/ha,53069
Democratic Republic of the Congo,Oranges,2020,100 g/ha,153977
Democratic Republic of the Congo,Oranges,2021,100 g/ha,154018
Democratic Republic of the Congo,"Other beans, green",2020,100 g/ha,44126
Democratic Republic of the Congo,"Other beans, green",2021,100 g/ha,43671
Democratic Republic of the Congo,"Other fruits, n.e.c.",2020,100 g/ha,81155
Democratic Republic of the Congo,"Other fruits, n.e.c.",2021,100 g/ha,81663
Democratic Republic of the Congo,"Other oil seeds, n.e.c.",2020,100 g/ha,9857
Democratic Republic of the Congo,"Other oil seeds, n.e.c.",2021,100 g/ha,9820
Democratic Republic of the Congo,Other pulses n.e.c.,2020,100 g/ha,3272
Democratic Republic of the Congo,Other pulses n.e.c.,2021,100 g/ha,3283
Democratic Republic of the Congo,"Other stimulant, spice and aromatic crops, n.e.c.",2020,100 g/ha,7250
Democratic Republic of the Congo,"Other stimulant, spice and aromatic crops, n.e.c.",2021,100 g/ha,7244
Democratic Republic of the Congo,"Other vegetables, fresh n.e.c.",2020,100 g/ha,61329
Democratic Republic of the Congo,"Other vegetables, fresh n.e.c.",2021,100 g/ha,61697
Democratic Republic of the Congo,Papayas,2020,100 g/ha,169424
Democratic Republic of the Congo,Papayas,2021,100 g/ha,169460
Democratic Republic of the Congo,"Peas, dry",2020,100 g/ha,4047
Democratic Republic of the Congo,"Peas, dry",2021,100 g/ha,4050
Democratic Republic of the Congo,"Pigeon peas, dry",2020,100 g/ha,5848
Democratic Republic of the Congo,"Pigeon peas, dry",2021,100 g/ha,5798
Democratic Republic of the Congo,Pineapples,2020,100 g/ha,245421
Democratic Republic of the Congo,Pineapples,2021,100 g/ha,245036
Democratic Republic of the Congo,Plantains and cooking bananas,2020,100 g/ha,44159
Democratic Republic of the Congo,Plantains and cooking bananas,2021,100 g/ha,44131
Democratic Republic of the Congo,Pomelos and grapefruits,2020,100 g/ha,151821
Democratic Republic of the Congo,Pomelos and grapefruits,2021,100 g/ha,151802
Democratic Republic of the Congo,Potatoes,2020,100 g/ha,45999
Democratic Republic of the Congo,Potatoes,2021,100 g/ha,45985
Democratic Republic of the Congo,"Pumpkins, squash and gourds",2020,100 g/ha,107959
Democratic Republic of the Congo,"Pumpkins, squash and gourds",2021,100 g/ha,107784
Democratic Republic of the Congo,Rice,2020,100 g/ha,11184
Democratic Republic of the Congo,Rice,2021,100 g/ha,10959
Democratic Republic of the Congo,"Seed cotton, unginned",2020,100 g/ha,4164
Democratic Republic of the Congo,"Seed cotton, unginned",2021,100 g/ha,4165
Democratic Republic of the Congo,Sesame seed,2020,100 g/ha,4374
Democratic Republic of the Congo,Sesame seed,2021,100 g/ha,4362
Democratic Republic of the Congo,Sorghum,2020,100 g/ha,6693
Democratic Republic of the Congo,Sorghum,2021,100 g/ha,6697
Democratic Republic of the Congo,Soya beans,2020,100 g/ha,5136
Democratic Republic of the Congo,Soya beans,2021,100 g/ha,5065
Democratic Republic of the Congo,Sugar cane,2020,100 g/ha,461549
Democratic Republic of the Congo,Sugar cane,2021,100 g/ha,463036
Democratic Republic of the Congo,Sweet potatoes,2020,100 g/ha,50055
Democratic Republic of the Congo,Sweet potatoes,2021,100 g/ha,50076
Democratic Republic of the Congo,Taro,2020,100 g/ha,37780
Democratic Republic of the Congo,Taro,2021,100 g/ha,37585
Democratic Republic of the Congo,Tea leaves,2020,100 g/ha,1333
Democratic Republic of the Congo,Tea leaves,2021,100 g/ha,1333
Democratic Republic of the Congo,Tomatoes,2020,100 g/ha,74836
Democratic Republic of the Congo,Tomatoes,2021,100 g/ha,74841
Democratic Republic of the Congo,Unmanufactured tobacco,2020,100 g/ha,4715
Democratic Republic of the Congo,Unmanufactured tobacco,2021,100 g/ha,4695
Democratic Republic of the Congo,Wheat,2020,100 g/ha,11250
Democratic Republic of the Congo,Wheat,2021,100 g/ha,11250
Democratic Republic of the Congo,Yams,2020,100 g/ha,44816
Democratic Republic of the Congo,Yams,2021,100 g/ha,44899
Denmark,Apples,2020,100 g/ha,290000
Denmark,Apples,2021,100 g/ha,218286
Denmark,Asparagus,2020,100 g/ha,15238
Denmark,Asparagus,2021,100 g/ha,15714
Denmark,Barley,2020,100 g/ha,63633
Denmark,Barley,2021,100 g/ha,55698
Denmark,Blueberries,2020,100 g/ha,11000
Denmark,Blueberries,2021,100 g/ha,12000
Denmark,"Broad beans and horse beans, dry",2020,100 g/ha,40823
Denmark,"Broad beans and horse beans, dry",2021,100 g/ha,36629
Denmark,Cabbages,2020,100 g/ha,291800
Denmark,Cabbages,2021,100 g/ha,304397
Denmark,Carrots and turnips,2020,100 g/ha,467624
Denmark,Carrots and turnips,2021,100 g/ha,467750
Denmark,Cauliflowers and broccoli,2020,100 g/ha,71250
Denmark,Cauliflowers and broccoli,2021,100 g/ha,73936
Denmark,Cherries,2020,100 g/ha,38421
Denmark,Cherries,2021,100 g/ha,38889
Denmark,Cucumbers and gherkins,2020,100 g/ha,3280000
Denmark,Cucumbers and gherkins,2021,100 g/ha,3134000
Denmark,Currants,2020,100 g/ha,21159
Denmark,Currants,2021,100 g/ha,21373
Denmark,Leeks and other alliaceous vegetables,2020,100 g/ha,87692
Denmark,Leeks and other alliaceous vegetables,2021,100 g/ha,88148
Denmark,Lettuce and chicory,2020,100 g/ha,353188
Denmark,Lettuce and chicory,2021,100 g/ha,345224
Denmark,Maize (corn),2020,100 g/ha,62484
Denmark,Maize (corn),2021,100 g/ha,70734
Denmark,Mixed grain,2020,100 g/ha,42533
Denmark,Mixed grain,2021,100 g/ha,31104
Denmark,Oats,2020,100 g/ha,56944
Denmark,Oats,2021,100 g/ha,48628
Denmark,"Onions and shallots, dry (excluding dehydrated)",2020,100 g/ha,315985
Denmark,"Onions and shallots, dry (excluding dehydrated)",2021,100 g/ha,316761
Denmark,Other berries and fruits of the genus vaccinium n.e.c.,2020,100 g/ha,19545
Denmark,Other berries and fruits of the genus vaccinium n.e.c.,2021,100 g/ha,20000
Denmark,Pears,2020,100 g/ha,239667
Denmark,Pears,2021,100 g/ha,236333
Denmark,"Peas, dry",2020,100 g/ha,43270
Denmark,"Peas, dry",2021,100 g/ha,32621
Denmark,"Peas, green",2020,100 g/ha,23365
Denmark,"Peas, green",2021,100 g/ha,23413
Denmark,Plums and sloes,2020,100 g/ha,32222
Denmark,Plums and sloes,2021,100 g/ha,32000
Denmark,Potatoes,2020,100 g/ha,439952
Denmark,Potatoes,2021,100 g/ha,422527
Denmark,"Pumpkins, squash and gourds",2020,100 g/ha,205000
Denmark,"Pumpkins, squash and gourds",2021,100 g/ha,201111
Denmark,Rape or colza seed,2020,100 g/ha,38396
Denmark,Rape or colza seed,2021,100 g/ha,40080
Denmark,Raspberries,2020,100 g/ha,30000
Denmark,Raspberries,2021,100 g/ha,36364
Denmark,Rye,2020,100 g/ha,60657
Denmark,Rye,2021,100 g/ha,62095
Denmark,Sour cherries,2020,100 g/ha,32558
Denmark,Sour cherries,2021,100 g/ha,32895
Denmark,Spinach,2020,100 g/ha,49630
Denmark,Spinach,2021,100 g/ha,50476
Denmark,Strawberries,2020,100 g/ha,56729
Denmark,Strawberries,2021,100 g/ha,57184
Denmark,Sugar beet,2020,100 g/ha,770663
Denmark,Sugar beet,2021,100 g/ha,775030
Denmark,Tomatoes,2020,100 g/ha,3920000
Denmark,Tomatoes,2021,100 g/ha,3796667
Denmark,Triticale,2020,100 g/ha,63708
Denmark,Triticale,2021,100 g/ha,71043
Denmark,Wheat,2020,100 g/ha,80987
Denmark,Wheat,2021,100 g/ha,75267
Djibouti,"Beans, dry",2020,100 g/ha,3166
Djibouti,"Beans, dry",2021,100 g/ha,3185
Djibouti,Cabbages,2020,100 g/ha,79382
Djibouti,Cabbages,2021,100 g/ha,79423
Djibouti,Cantaloupes and other melons,2020,100 g/ha,239539
Djibouti,Cantaloupes and other melons,2021,100 g/ha,245941
Djibouti,Carrots and turnips,2020,100 g/ha,464125
Djibouti,Carrots and turnips,2021,100 g/ha,467918
Djibouti,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2020,100 g/ha,18568
Djibouti,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",2021,100 g/ha,18605
Djibouti,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,100 g/ha,50665
Djibouti,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,100 g/ha,51328
Djibouti,Cucumbers and gherkins,2020,100 g/ha,90459
Djibouti,Cucumbers and gherkins,2021,100 g/ha,90597
Djibouti,Dates,2020,100 g/ha,25487
Djibouti,Dates,2021,100 g/ha,25900
Djibouti,Eggplants (aubergines),2020,100 g/ha,261753
Djibouti,Eggplants (aubergines),2021,100 g/ha,265772
Djibouti,Lemons and limes,2020,100 g/ha,55706
Djibouti,Lemons and limes,2021,100 g/ha,55643
Djibouti,Lettuce and chicory,2020,100 g/ha,9324
Djibouti,Lettuce and chicory,2021,100 g/ha,8936
Djibouti,Maize (corn),2020,100 g/ha,20000
Djibouti,Maize (corn),2021,100 g/ha,20004
Djibouti,"Mangoes, guavas and mangosteens",2020,100 g/ha,54098
Djibouti,"Mangoes, guavas and mangosteens",2021,100 g/ha,54338
Djibouti,Okra,2020,100 g/ha,82405
Djibouti,Okra,2021,100 g/ha,84610
Djibouti,"Onions and shallots, green",2020,100 g/ha,245134
Djibouti,"Onions and shallots, green",2021,100 g/ha,251271
Djibouti,Oranges,2020,100 g/ha,84222
Djibouti,Oranges,2021,100 g/ha,85516
Djibouti,"Other tropical fruits, n.e.c.",2020,100 g/ha,75484
Djibouti,"Other tropical fruits, n.e.c.",2021,100 g/ha,76001
Djibouti,"Other vegetables, fresh n.e.c.",2020,100 g/ha,67491
Djibouti,"Other vegetables, fresh n.e.c.",2021,100 g/ha,66835
Djibouti,Pears,2020,100 g/ha,60020
Djibouti,Pears,2021,100 g/ha,60021
Djibouti,"Pumpkins, squash and gourds",2020,100 g/ha,220469
Djibouti,"Pumpkins, squash and gourds",2021,100 g/ha,221897
Djibouti,"Tangerines, mandarins, clementines",2020,100 g/ha,31658
Djibouti,"Tangerines, mandarins, clementines",2021,100 g/ha,31758
Djibouti,Tomatoes,2020,100 g/ha,62154
Djibouti,Tomatoes,2021,100 g/ha,62956
Djibouti,Watermelons,2020,100 g/ha,231844
Djibouti,Watermelons,2021,100 g/ha,232316
Dominica,Avocados,2020,100 g/ha,24712
Dominica,Avocados,2021,100 g/ha,24664
Dominica,Bananas,2020,100 g/ha,74514
Dominica,Bananas,2021,100 g/ha,73965
Dominica,Cabbages,2020,100 g/ha,96660
Dominica,Cabbages,2021,100 g/ha,96584
Dominica,Carrots and turnips,2020,100 g/ha,79984
Dominica,Carrots and turnips,2021,100 g/ha,76003
Dominica,"Cassava, fresh",2020,100 g/ha,78627
Dominica,"Cassava, fresh",2021,100 g/ha,78546
Dominica,"Cinnamon and cinnamon-tree flowers, raw",2020,100 g/ha,5995
Dominica,"Cinnamon and cinnamon-tree flowers, raw",2021,100 g/ha,6004
Dominica,Cocoa beans,2020,100 g/ha,1044
Dominica,Cocoa beans,2021,100 g/ha,1046
Dominica,"Coconuts, in shell",2020,100 g/ha,28424
Dominica,"Coconuts, in shell",2021,100 g/ha,28144
Dominica,"Coffee, green",2020,100 g/ha,3555
Dominica,"Coffee, green",2021,100 g/ha,3559
Dominica,Cucumbers and gherkins,2020,100 g/ha,66024
Dominica,Cucumbers and gherkins,2021,100 g/ha,65319
Dominica,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2020,100 g/ha,290442
Dominica,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2021,100 g/ha,295118
Dominica,"Ginger, raw",2020,100 g/ha,35839
Dominica,"Ginger, raw",2021,100 g/ha,35536
Dominica,Lemons and limes,2020,100 g/ha,71072
Dominica,Lemons and limes,2021,100 g/ha,71824
Dominica,Lettuce and chicory,2020,100 g/ha,154724
Dominica,Lettuce and chicory,2021,100 g/ha,155020
Dominica,Maize (corn),2020,100 g/ha,16625
Dominica,Maize (corn),2021,100 g/ha,16755
Dominica,"Mangoes, guavas and mangosteens",2020,100 g/ha,8822
Dominica,"Mangoes, guavas and mangosteens",2021,100 g/ha,8818
Dominica,"Nutmeg, mace, cardamoms, raw",2020,100 g/ha,16529
Dominica,"Nutmeg, mace, cardamoms, raw",2021,100 g/ha,16431
Dominica,Oranges,2020,100 g/ha,87142
Dominica,Oranges,2021,100 g/ha,86244
Dominica,"Other fruits, n.e.c.",2020,100 g/ha,69150
Dominica,"Other fruits, n.e.c.",2021,100 g/ha,69226
Dominica,Other pulses n.e.c.,2020,100 g/ha,7646
Dominica,Other pulses n.e.c.,2021,100 g/ha,7683
Dominica,"Other stimulant, spice and aromatic crops, n.e.c.",2020,100 g/ha,5592
Dominica,"Other stimulant, spice and aromatic crops, n.e.c.",2021,100 g/ha,5584
Dominica,"Other vegetables, fresh n.e.c.",2020,100 g/ha,72855
Dominica,"Other vegetables, fresh n.e.c.",2021,100 g/ha,73109
Dominica,Papayas,2020,100 g/ha,166630
Dominica,Papayas,2021,100 g/ha,167131
Dominica,Pineapples,2020,100 g/ha,137883
Dominica,Pineapples,2021,100 g/ha,135673
Dominica,Plantains and cooking bananas,2020,100 g/ha,73655
Dominica,Plantains and cooking bananas,2021,100 g/ha,73721
Dominica,Pomelos and grapefruits,2020,100 g/ha,101473
Dominica,Pomelos and grapefruits,2021,100 g/ha,101438
Dominica,Potatoes,2020,100 g/ha,167414
Dominica,Potatoes,2021,100 g/ha,168488
Dominica,"Pumpkins, squash and gourds",2020,100 g/ha,101809
Dominica,"Pumpkins, squash and gourds",2021,100 g/ha,101934
Dominica,Sugar cane,2020,100 g/ha,196913
Dominica,Sugar cane,2021,100 g/ha,196618
Dominica,Sweet potatoes,2020,100 g/ha,61860
Dominica,Sweet potatoes,2021,100 g/ha,62517
Dominica,Taro,2020,100 g/ha,96175
Dominica,Taro,2021,100 g/ha,95816
Dominica,Tomatoes,2020,100 g/ha,123302
Dominica,Tomatoes,2021,100 g/ha,125004
Dominica,Yams,2020,100 g/ha,114385
Dominica,Yams,2021,100 g/ha,114858
Dominica,Yautia,2020,100 g/ha,58773
Dominica,Yautia,2021,100 g/ha,59193
Dominican Republic,Avocados,2020,100 g/ha,169415
Dominican Republic,Avocados,2021,100 g/ha,169309
Dominican Republic,Bananas,2020,100 g/ha,438463
Dominican Republic,Bananas,2021,100 g/ha,431059
Dominican Republic,"Beans, dry",2020,100 g/ha,10358
Dominican Republic,"Beans, dry",2021,100 g/ha,10454
Dominican Republic,"Broad beans and horse beans, dry",2020,100 g/ha,13372
Dominican Republic,"Broad beans and horse beans, dry",2021,100 g/ha,13390
Dominican Republic,Cabbages,2020,100 g/ha,517185
Dominican Republic,Cabbages,2021,100 g/ha,517714
Dominican Republic,Cantaloupes and other melons,2020,100 g/ha,290136
Dominican Republic,Cantaloupes and other melons,2021,100 g/ha,292141
Dominican Republic,Carrots and turnips,2020,100 g/ha,242813
Dominican Republic,Carrots and turnips,2021,100 g/ha,243979
Dominican Republic,"Cashew nuts, in shell",2020,100 g/ha,708
Dominican Republic,"Cashew nuts, in shell",2021,100 g/ha,771
Dominican Republic,"Cassava, fresh",2020,100 g/ha,77459
Dominican Republic,"Cassava, fresh",2021,100 g/ha,77827
Dominican Republic,"Chick peas, dry",2020,100 g/ha,10520
Dominican Republic,"Chick peas, dry",2021,100 g/ha,10283
Dominican Republic,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,100 g/ha,58059
Dominican Republic,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,100 g/ha,58339
Dominican Republic,Cocoa beans,2020,100 g/ha,4491
Dominican Republic,Cocoa beans,2021,100 g/ha,5381
Dominican Republic,"Coconuts, in shell",2020,100 g/ha,93929
Dominican Republic,"Coconuts, in shell",2021,100 g/ha,94159
Dominican Republic,"Coffee, green",2020,100 g/ha,3483
Dominican Republic,"Coffee, green",2021,100 g/ha,4648
Dominican Republic,Cucumbers and gherkins,2020,100 g/ha,174118
Dominican Republic,Cucumbers and gherkins,2021,100 g/ha,174271
Dominican Republic,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2020,100 g/ha,64394
Dominican Republic,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2021,100 g/ha,61550
Dominican Republic,Eggplants (aubergines),2020,100 g/ha,71213
Dominican Republic,Eggplants (aubergines),2021,100 g/ha,71014
Dominican Republic,"Ginger, raw",2020,100 g/ha,40562
Dominican Republic,"Ginger, raw",2021,100 g/ha,40509
Dominican Republic,Green garlic,2020,100 g/ha,59290
Dominican Republic,Green garlic,2021,100 g/ha,56589
Dominican Republic,"Groundnuts, excluding shelled",2020,100 g/ha,15510
Dominican Republic,"Groundnuts, excluding shelled",2021,100 g/ha,15516
Dominican Republic,Lemons and limes,2020,100 g/ha,15540
Dominican Republic,Lemons and limes,2021,100 g/ha,15643
Dominican Republic,Lettuce and chicory,2020,100 g/ha,39957
Dominican Republic,Lettuce and chicory,2021,100 g/ha,39959
Dominican Republic,Maize (corn),2020,100 g/ha,17938
Dominican Republic,Maize (corn),2021,100 g/ha,17989
Dominican Republic,"Mangoes, guavas and mangosteens",2020,100 g/ha,124731
Dominican Republic,"Mangoes, guavas and mangosteens",2021,100 g/ha,124917
Dominican Republic,Natural rubber in primary forms,2020,100 g/ha,13830
Dominican Republic,Natural rubber in primary forms,2021,100 g/ha,14082
Dominican Republic,Oil palm fruit,2020,100 g/ha,138925
Dominican Republic,Oil palm fruit,2021,100 g/ha,138687
Dominican Republic,"Onions and shallots, dry (excluding dehydrated)",2020,100 g/ha,143808
Dominican Republic,"Onions and shallots, dry (excluding dehydrated)",2021,100 g/ha,144276
Dominican Republic,Oranges,2020,100 g/ha,55335
Dominican Republic,Oranges,2021,100 g/ha,55831
Dominican Republic,"Other fruits, n.e.c.",2020,100 g/ha,46959
Dominican Republic,"Other fruits, n.e.c.",2021,100 g/ha,44947
Dominican Republic,Other pulses n.e.c.,2020,100 g/ha,112344
Dominican Republic,Other pulses n.e.c.,2021,100 g/ha,139026
Dominican Republic,"Other stimulant, spice and aromatic crops, n.e.c.",2020,100 g/ha,6114
Dominican Republic,"Other stimulant, spice and aromatic crops, n.e.c.",2021,100 g/ha,6112
Dominican Republic,"Other tropical fruits, n.e.c.",2020,100 g/ha,279701
Dominican Republic,"Other tropical fruits, n.e.c.",2021,100 g/ha,288518
Dominican Republic,"Other vegetables, fresh n.e.c.",2020,100 g/ha,170249
Dominican Republic,"Other vegetables, fresh n.e.c.",2021,100 g/ha,170680
Dominican Republic,Papayas,2020,100 g/ha,1193151
Dominican Republic,Papayas,2021,100 g/ha,1203301
Dominican Republic,"Peas, dry",2020,100 g/ha,9514
Dominican Republic,"Peas, dry",2021,100 g/ha,9549
Dominican Republic,"Pigeon peas, dry",2020,100 g/ha,10844
Dominican Republic,"Pigeon peas, dry",2021,100 g/ha,10889
Dominican Republic,Pineapples,2020,100 g/ha,578019
Dominican Republic,Pineapples,2021,100 g/ha,580048
Dominican Republic,Plantains and cooking bananas,2020,100 g/ha,256389
Dominican Republic,Plantains and cooking bananas,2021,100 g/ha,222141
Dominican Republic,Pomelos and grapefruits,2020,100 g/ha,56848
Dominican Republic,Pomelos and grapefruits,2021,100 g/ha,56186
Dominican Republic,Potatoes,2020,100 g/ha,266418
Dominican Republic,Potatoes,2021,100 g/ha,266080
Dominican Republic,"Pumpkins, squash and gourds",2020,100 g/ha,52338
Dominican Republic,"Pumpkins, squash and gourds",2021,100 g/ha,52413
Dominican Republic,Rice,2020,100 g/ha,51030
Dominican Republic,Rice,2021,100 g/ha,52637
Dominican Republic,"Sisal, raw",2020,100 g/ha,1949
Dominican Republic,"Sisal, raw",2021,100 g/ha,1938
Dominican Republic,Sorghum,2020,100 g/ha,14528
Dominican Republic,Sorghum,2021,100 g/ha,14441
Dominican Republic,Sugar cane,2020,100 g/ha,430137
Dominican Republic,Sugar cane,2021,100 g/ha,429186
Dominican Republic,Sweet potatoes,2020,100 g/ha,83723
Dominican Republic,Sweet potatoes,2021,100 g/ha,84005
Dominican Republic,Tomatoes,2020,100 g/ha,405620
Dominican Republic,Tomatoes,2021,100 g/ha,413329
Dominican Republic,Unmanufactured tobacco,2020,100 g/ha,15233
Dominican Republic,Unmanufactured tobacco,2021,100 g/ha,13904
Dominican Republic,Watermelons,2020,100 g/ha,3863064
Dominican Republic,Watermelons,2021,100 g/ha,3878167
Dominican Republic,Yams,2020,100 g/ha,70530
Dominican Republic,Yams,2021,100 g/ha,70580
Dominican Republic,Yautia,2020,100 g/ha,75538
Dominican Republic,Yautia,2021,100 g/ha,75434
Ecuador,"Abaca, manila hemp, raw",2020,100 g/ha,13294
Ecuador,"Abaca, manila hemp, raw",2021,100 g/ha,13273
Ecuador,"Agave fibres, raw, n.e.c.",2020,100 g/ha,13629
Ecuador,"Agave fibres, raw, n.e.c.",2021,100 g/ha,13511
Ecuador,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2020,100 g/ha,3887
Ecuador,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",2021,100 g/ha,3968
Ecuador,Apples,2020,100 g/ha,52962
Ecuador,Apples,2021,100 g/ha,53016
Ecuador,Apricots,2020,100 g/ha,50636
Ecuador,Apricots,2021,100 g/ha,50923
Ecuador,Asparagus,2020,100 g/ha,29653
Ecuador,Asparagus,2021,100 g/ha,29625
Ecuador,Avocados,2020,100 g/ha,42204
Ecuador,Avocados,2021,100 g/ha,70761
Ecuador,Bananas,2020,100 g/ha,374986
Ecuador,Bananas,2021,100 g/ha,407406
Ecuador,Barley,2020,100 g/ha,12647
Ecuador,Barley,2021,100 g/ha,15123
Ecuador,"Beans, dry",2020,100 g/ha,6610
Ecuador,"Beans, dry",2021,100 g/ha,5998
Ecuador,"Broad beans and horse beans, dry",2020,100 g/ha,5923
Ecuador,"Broad beans and horse beans, dry",2021,100 g/ha,9901
Ecuador,"Broad beans and horse beans, green",2020,100 g/ha,48956
Ecuador,"Broad beans and horse beans, green",2021,100 g/ha,38064
Ecuador,Cabbages,2020,100 g/ha,61839
Ecuador,Cabbages,2021,100 g/ha,61376
Ecuador,Cantaloupes and other melons,2020,100 g/ha,105473
Ecuador,Cantaloupes and other melons,2021,100 g/ha,105503
Ecuador,Carrots and turnips,2020,100 g/ha,61885
Ecuador,Carrots and turnips,2021,100 g/ha,61978
Ecuador,"Cassava, fresh",2020,100 g/ha,42959
Ecuador,"Cassava, fresh",2021,100 g/ha,55056
Ecuador,Castor oil seeds,2020,100 g/ha,15592
Ecuador,Castor oil seeds,2021,100 g/ha,15676
Ecuador,Cauliflowers and broccoli,2020,100 g/ha,77396
Ecuador,Cauliflowers and broccoli,2021,100 g/ha,77390
Ecuador,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2020,100 g/ha,36737
Ecuador,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",2021,100 g/ha,36336
Ecuador,Cocoa beans,2020,100 g/ha,6218
Ecuador,Cocoa beans,2021,100 g/ha,5558
Ecuador,"Coconuts, in shell",2020,100 g/ha,59204
Ecuador,"Coconuts, in shell",2021,100 g/ha,58988
Ecuador,"Coffee, green",2020,100 g/ha,1962
Ecuador,"Coffee, green",2021,100 g/ha,1668
Ecuador,Cucumbers and gherkins,2020,100 g/ha,82735
Ecuador,Cucumbers and gherkins,2021,100 g/ha,82544
Ecuador,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2020,100 g/ha,25366
Ecuador,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",2021,100 g/ha,25461
Ecuador,Figs,2020,100 g/ha,11709
Ecuador,Figs,2021,100 g/ha,11657
Ecuador,Grapes,2020,100 g/ha,68525
Ecuador,Grapes,2021,100 g/ha,69100
